Individual	Ploidy	Gene	GenomeCopies
C2X_02	2N	atp6	12.41584159
C2X_17	2N	atp6	10.31413613
C2X_13	2N	atp6	11.34868421
C2X_11	2N	atp6	10.48648649
C2X_10	2N	atp6	9.48228883
C2X_18	2N	atp6	10.77922078
C2X_12	2N	atp6	10.16438356
C2X_14	2N	atp6	10.69651742
C2X_16	2N	atp6	9.31174089
C2X_15	2N	atp6	8.86039886
C2X_10	2N	cox2	7.86440678
C2x_18	2N	cox2	9.492273731
C2X_14	2N	cox2	7.76203966
C2X_11	2N	cox2	8.193548387
C2X_12	2N	cox2	6.575342466
C2X_17	2N	cox2	7.807692308
C2X_16	2N	cox2	7.689655172
C2X_02	2N	cox2	9.150485437
C2X_15	2N	cox2	6.363095238
C2X_13	2N	cox2	8.649706458
C2X_02	2N	nad7	9.02970297
C2X_17	2N	nad7	8.785340314
C2X_13	2N	nad7	7.25
C2X_11	2N	nad7	7.891891892
C2X_10	2N	nad7	6.713896458
C2X_18	2N	nad7	9.415584416
C2X_12	2N	nad7	6.443835616
C2X_14	2N	nad7	8.129353234
C2X_16	2N	nad7	6.955465587
C2X_15	2N	nad7	7.122507123
C2X_11	2N	rps12	11.60194175
C2X_16	2N	rps12	10.76995305
C2X_15	2N	rps12	11.18541033
C2X_10	2N	rps12	12.12435233
C2X_17	2N	rps12	13.50253807
C2X_14	2N	rps12	14.07407407
C2X_02	2N	rps12	15.88495575
C2X_12	2N	rps12	12.20430108
C2X_13	2N	rps12	13.57615894
C2X_18	2N	rps12	14.03636364
C4X_09	4N	atp6	20
C4X_18	4N	atp6	22.22222222
C4X_10	4N	atp6	24.13043479
C4X_16	4N	atp6	18.97959184
C4X_07	4N	atp6	20.77922078
C4X_02	4N	atp6	21.47783251
C4X_17	4N	atp6	19.9
C4X_13	4N	atp6	20.10050252
C4X_08	4N	atp6	21.62162162
C4X_15	4N	atp6	22.07253886
C4X_15	4N	cox2	13.61702128
C4X_13	4N	cox2	14.63959391
C4X_10	4N	cox2	18.41269841
C4X_02	4N	cox2	13.14285714
C4X_17	4N	cox2	15.82417582
C4X_18	4N	cox2	16.69662921
C4X_16	4N	cox2	15.8817734
C4X_07	4N	cox2	23.32467532
C4X_09	4N	cox2	13.05050505
C4X_08	4N	cox2	15.40088106
C4X_09	4N	nad7	15.31111111
C4X_18	4N	nad7	16.49382716
C4X_10	4N	nad7	17.73913043
C4X_16	4N	nad7	15.18367347
C4X_07	4N	nad7	14.94372294
C4X_02	4N	nad7	13.89162562
C4X_17	4N	nad7	16.04
C4X_13	4N	nad7	15.05527638
C4X_08	4N	nad7	15.2972973
C4X_15	4N	nad7	16.39378238
C4X_16	4N	rps12	25.29147982
C4X_18	4N	rps12	23.97619048
C4X_09	4N	rps12	24.39766082
C4X_13	4N	rps12	22.41904762
C4X_07	4N	rps12	28.63636364
C4X_17	4N	rps12	28.78911565
C4X_15	4N	rps12	23.95811518
C4X_02	4N	rps12	26.33165829
C4X_10	4N	rps12	29.67741935
C4X_08	4N	rps12	23.07692308
C8X_07	8N	atp6	39.7752809
C8X_09	8N	atp6	52.27272725
C8X_12	8N	atp6	42.68156425
C8X_01	8N	atp6	45.13513514
C8X_16	8N	atp6	37.2631579
C8X_14	8N	atp6	32.85714286
C8X_06	8N	atp6	42.64150944
C8X_02	8N	atp6	13.0700637
C8X_10	8N	atp6	64.49760765
C8X_15	8N	atp6	43.04568528
C8X_06	8N	cox2	30.74074074
C8X_09	8N	cox2	42.5433526
C8X_12	8N	cox2	37.4566474
C8X_16	8N	cox2	34.57777778
C8X_07	8N	cox2	26.99415205
C8X_14	8N	cox2	37.94285714
C8X_01	8N	cox2	32.57142857
C8X_02	8N	cox2	17.42675159
C8X_10	8N	cox2	57.2
C8X_15	8N	cox2	32.29015544
C8X_07	8N	nad7	28.94382022
C8X_09	8N	nad7	38.63636364
C8X_12	8N	nad7	32.93854749
C8X_01	8N	nad7	36.48648649
C8X_16	8N	nad7	32.63157895
C8X_14	8N	nad7	22.97142857
C8X_06	8N	nad7	28.83018868
C8X_02	8N	nad7	26.59872611
C8X_10	8N	nad7	53.97129187
C8X_15	8N	nad7	32.60913706
C8X_12	8N	rps12	53.79310345
C8X_07	8N	rps12	37.80769231
C8X_16	8N	rps12	44.25142857
C8X_14	8N	rps12	52.24691358
C8X_06	8N	rps12	69.98561151
C8X_01	8N	rps12	47.80487805
C8X_09	8N	rps12	55.53488372
C8X_02	8N	rps12	21.60479042
C8X_10	8N	rps12	77.6
C8X_15	8N	rps12	52.70588235
