Start	End	Strand	Species	Color
1	426	-1	1	steelblue3
426	1733	-1	1	steelblue3
1918	2751	1	1	steelblue3
2753	4135	-1	1	steelblue3
4218	5582	1	1	steelblue3
5623	6591	-1	1	steelblue3
6596	7045	-1	1	steelblue3
7060	7911	1	1	steelblue3
7895	9523	1	1	steelblue3
9533	10909	1	1	steelblue3
11175	11780	1	1	steelblue3
11794	12990	1	1	khaki1
12987	14396	1	1	steelblue3
14397	15743	-1	1	steelblue3
15855	17546	1	1	steelblue3
17548	18030	1	1	khaki1
18027	18449	1	1	steelblue3
18739	19296	1	1	khaki1
19293	20150	1	1	steelblue3
244879	245307	-1	2	steelblue3
245322	246620	-1	2	steelblue3
250359	251189	1	2	steelblue3
251449	252439	-1	2	steelblue3
253012	254382	1	2	steelblue3
254379	255350	-1	2	steelblue3
255356	255811	-1	2	steelblue3
255836	256681	1	2	steelblue3
256659	258260	1	2	steelblue3
260255	261616	1	2	steelblue3
263608	264030	-1	2	khaki1
265481	266029	1	2	steelblue3
267276	268658	1	2	steelblue3
268691	270037	-1	2	steelblue3
270138	271835	1	2	steelblue3
273254	273697	1	2	steelblue3
276841	276951	-1	2	khaki1
277710	278570	1	2	steelblue3
